phone_name,Price,Seller_Name,Listing_URL,Scraped_Date
ابل  هاتف آيفون 13 بذاكرة داخلية 128 جيجابايت وتقنية 5G مع تطبيق فيس تايم بلون ميدنايت - إصدار عالمي,"جنيه31,195",4.6,https://www.noon.com/egypt-ar/iphone-13-128gb-midnight-5g-with-facetime-international-version/N50838860A/p/?o=d944658713be34bf,2025-10-15 19:14:41
ابل  آيفون 16 برو ماكس سعة 256 جيجابايت تيتانيوم صحراوي 5G مع فيس تايم - نسخة الشرق الأوسط,"جنيه75,246",4.6,https://www.noon.com/egypt-ar/iphone-16-pro-max-256gb-desert-titanium-5g-with-facetime-middle-east-version/N70105592V/p/?o=ccdbfef1bbbf7eed,2025-10-15 19:14:41
سامسونج جالاكسي زد فليب 7 ثنائي الشريحة ظل أزرق 12 جيجابايت 256 جيجابايت 5G - نسخة الشرق الأوسط,"جنيه58,750",4.5,https://www.noon.com/egypt-ar/galaxy-z-flip-7-dual-sim-blue-shadow-12gb-256gb-5g-middle-east-version/N70187019V/p/?o=f2047b4f463e1f4d,2025-10-15 19:14:41
سامسونج جالاكسي S25 ألترا AI ثنائي الشريحة رمادي تيتانيوم 12 جيجابايت RAM 256 جيجابايت 5G - نسخة الشرق الأوسط,"جنيه64,656",4.5,https://www.noon.com/egypt-ar/galaxy-s25-ultra-ai-dual-sim-titanium-grey-12gb-ram-256gb-5g-middle-east-version/N70140492V/p/?o=a43cd0c21b13da6d,2025-10-15 19:14:41
سامسونج جالاكسي Z فليب 7 ثنائي الشريحة أسود جت 12 جيجابايت 256 جيجابايت 5G - نسخة الشرق الأوسط,"جنيه57,490",4.5,https://www.noon.com/egypt-ar/galaxy-z-flip-7-dual-sim-jet-black-12gb-256gb-5g-middle-east-version/N70187020V/p/?o=c17e0dadafd19a1a,2025-10-15 19:14:41
سامسونج Galaxy Z Flip 7 Dual SIM Jet Black 12GB 256GB 5G - International Version,"جنيه57,990",4.5,https://www.noon.com/egypt-ar/galaxy-z-flip-7-dual-sim-jet-black-12gb-256gb-5g-international-version/N70187042V/p/?o=fd31ccb819fcbbef,2025-10-15 19:14:41
سامسونج Galaxy Z Flip 7 Dual SIM Jet Black 12GB 512GB 5G - International Version,"جنيه63,950",4.5,https://www.noon.com/egypt-ar/galaxy-z-flip-7-dual-sim-jet-black-12gb-512gb-5g-international-version/N70187045V/p/?o=afbacdf451a98e4f,2025-10-15 19:14:41
سامسونج هاتف Galaxy Z Fold 6 ثنائي الشريحة بلون فضي وذاكرة وصول عشوائي (RAM) سعة 12 جيجابايت وذاكرة تخزين داخلية 256 جيجابايت يدعم تقنية 5G مع هدية - إصدار الشرق الأوسط,"جنيه78,000",4.2,https://www.noon.com/egypt-ar/galaxy-z-fold-6-dual-sim-silver-shadow-12gb-ram-256gb-5g-middle-east-version/N70085325V/p/?o=e1328b5af722feeb,2025-10-15 19:14:41
نوكيا هاتف نوكيا 106 شريحتين 4جي اسود,جنيه599,3.3,https://www.noon.com/egypt-ar/106-dual-sim-4g-black/N53400027A/p/?o=c21a26c9a2659f9b,2025-10-15 19:14:41
نوكيا 106 ثنائي الشريحة 4G- أسود مع هدية سماعات Pro Airpods متوافقة مع Android iPhone باللون الأبيض,جنيه999,1.7,https://www.noon.com/egypt-ar/106-dual-sim-4g-black-with-a-gift-pro-airpods-compatible-with-android-iphone-white/N70080660V/p/?o=faf7bbf99276916b,2025-10-15 19:14:41
سامسونج جالاكسي Z فليب 7 ثنائي الشريحة كورال ريد 12 جيجابايت 256 جيجابايت 5G - نسخة الشرق الأوسط,"جنيه63,000",4.5,https://www.noon.com/egypt-ar/galaxy-z-flip-7-dual-sim-coralred-12gb-256gb-5g-middle-east-version/N70187021V/p/?o=ee331d7ba655525a,2025-10-15 19:14:41
سامسونج جالاكسي زد فليب 7 ثنائي الشريحة كورال ريد 12 جيجابايت 512 جيجابايت 5G - نسخة الشرق الأوسط,"جنيه65,000",4.5,https://www.noon.com/egypt-ar/galaxy-z-flip-7-dual-sim-coralred-12gb-512gb-5g-middle-east-version/N70187025V/p/?o=ab842ccc39178eac,2025-10-15 19:14:41
سامسونج Galaxy Z Flip 7 Dual SIM Coralred 12GB 512GB 5G - International Version,"جنيه64,600",4.5,https://www.noon.com/egypt-ar/galaxy-z-flip-7-dual-sim-coralred-12gb-512gb-5g-international-version/N70187046V/p/?o=b371f9235b1024df,2025-10-15 19:14:41
مارجون Case Cover For iPhone 15 Pro And 2 Screen Protectors 2024 New Pattern Aramid Carbon Fiber Phone Case Slim And Light Design MIX3,"جنيه2,125",No Rating,https://www.noon.com/egypt-ar/case-cover-for-iphone-15-pro-and-2-screen-protectors-2024-new-pattern-aramid-carbon-fiber-phone-case-slim-and-light-design-mix3/N70088555V/p/?o=c5d0ca592c3df68b,2025-10-15 19:14:41
سامسونج جالاكسي M34 ثنائي الشريحة أزرق داكن 8 جيجابايت رام 128 جيجابايت 5G - إصدار الشرق الأوسط,"جنيه10,999",4.5,https://www.noon.com/egypt-ar/galaxy-m34-dual-sim-dark-blue-8gb-ram-128gb-5g-middle-east-version/N70042026V/p/?o=db748c498e189bde,2025-10-15 19:14:41
